,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
268,269,H29682,H,297.9,308.0,1800,24.8,44,0,No Failure,4674.69,1814.69,10.100000000000023
269,270,L47449,L,298.0,308.0,1524,37.0,49,0,No Failure,5904.94,3044.94,10.0
270,271,H29684,H,298.0,308.0,1520,39.6,51,0,No Failure,6303.29,3443.29,10.0
271,272,M15131,M,298.1,308.1,1452,40.8,56,0,No Failure,6203.77,3343.77,10.0
272,273,L47452,L,298.1,308.1,1484,40.4,59,0,No Failure,6278.33,3418.33,10.0
273,274,L47453,L,298.1,308.0,1426,46.0,61,0,No Failure,6869.2,4009.2,9.899999999999977
274,275,L47454,L,298.1,308.0,1652,28.5,63,0,No Failure,4930.42,2070.42,9.899999999999977
275,276,L47455,L,298.0,308.0,1401,54.7,65,0,No Failure,8025.17,5165.17,10.0
276,277,M15136,M,298.0,307.9,1750,26.6,67,0,No Failure,4874.7,2014.7,9.899999999999977
277,278,H29691,H,298.0,308.0,1479,50.7,70,0,No Failure,7852.44,4992.44,10.0
278,279,M15138,M,298.0,308.0,1620,29.4,75,0,No Failure,4987.59,2127.59,10.0
279,280,L47459,L,298.0,308.1,1819,23.4,78,0,No Failure,4457.35,1597.35,10.100000000000023
280,281,M15140,M,298.1,308.1,1456,43.7,80,0,No Failure,6663.02,3803.02,10.0
281,282,L47461,L,298.1,308.0,1626,36.5,83,0,No Failure,6215.01,3355.01,9.899999999999977
282,283,M15142,M,298.1,308.1,1390,49.8,85,0,No Failure,7248.91,4388.91,10.0
283,284,L47463,L,298.2,308.2,1469,43.0,88,0,No Failure,6614.83,3754.83,10.0
284,285,L47464,L,298.2,308.3,2051,19.2,90,0,No Failure,4123.78,1263.78,10.100000000000023
285,286,L47465,L,298.2,308.3,1568,36.0,92,0,No Failure,5911.22,3051.22,10.100000000000023
286,287,L47466,L,298.2,308.3,1589,33.2,94,0,No Failure,5524.47,2664.47,10.100000000000023
287,288,L47467,L,298.2,308.3,1805,31.6,96,0,No Failure,5973.01,3113.01,10.100000000000023
288,289,H29702,H,298.2,308.4,1385,42.2,98,0,No Failure,6120.56,3260.56,10.199999999999989
289,290,L47469,L,298.1,308.4,1436,46.7,103,0,No Failure,7022.63,4162.63,10.299999999999955
290,291,L47470,L,298.1,308.4,1438,45.6,105,0,No Failure,6866.77,4006.77,10.299999999999955
291,292,L47471,L,298.0,308.3,1473,42.6,107,0,No Failure,6571.14,3711.14,10.300000000000011
292,293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure,5620.0,2760.0,10.299999999999955
293,294,H29707,H,298.1,308.5,1392,44.8,111,0,No Failure,6530.49,3670.49,10.399999999999977
294,295,M15154,M,298.1,308.5,1372,51.1,116,0,No Failure,7341.82,4481.82,10.399999999999977
295,296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure,5516.76,2656.76,10.5
296,297,L47476,L,298.0,308.5,1395,46.2,122,0,No Failure,6749.08,3889.08,10.5
297,298,L47477,L,298.0,308.5,1713,25.3,124,0,No Failure,4538.44,1678.44,10.5
298,299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure,4169.13,1309.13,10.600000000000023
299,300,M15159,M,297.8,308.3,1567,35.6,131,0,No Failure,5841.81,2981.81,10.5
300,301,L47480,L,297.8,308.4,1622,38.3,134,0,No Failure,6505.46,3645.46,10.599999999999966
301,302,L47481,L,297.7,308.4,1740,27.1,136,0,No Failure,4937.96,2077.96,10.699999999999989
302,303,H29716,H,297.8,308.4,1512,35.1,138,0,No Failure,5557.6,2697.6,10.599999999999966
303,304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure,6737.3,3877.3,10.599999999999966
304,305,L47484,L,297.8,308.4,1737,27.5,146,0,No Failure,5002.2,2142.2,10.599999999999966
305,306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure,4280.61,1420.61,10.599999999999966
306,307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure,6776.98,3916.98,10.599999999999966
307,308,M15167,M,297.8,308.4,1579,36.6,152,0,No Failure,6051.9,3191.9,10.599999999999966
308,309,L47488,L,297.9,308.5,1305,47.2,155,0,No Failure,6450.32,3590.32,10.600000000000023
309,310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure,6190.95,3330.95,10.600000000000023
310,311,H29724,H,298.0,308.6,1526,41.8,160,0,No Failure,6679.74,3819.74,10.600000000000023
311,312,M15171,M,298.0,308.6,1453,44.1,165,0,No Failure,6710.16,3850.16,10.600000000000023
312,313,L47492,L,297.9,308.6,1468,36.0,168,0,No Failure,5534.23,2674.23,10.700000000000045
313,314,L47493,L,298.0,308.6,1313,50.8,170,0,No Failure,6984.85,4124.85,10.600000000000023
314,315,M15174,M,297.9,308.5,1300,53.0,172,0,No Failure,7215.19,4355.19,10.600000000000023
315,316,L47495,L,297.9,308.4,1646,40.6,175,0,No Failure,6998.17,4138.17,10.5
316,317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure,5959.06,3099.06,10.599999999999966
317,318,L47497,L,297.8,308.4,1685,28.4,179,0,No Failure,5011.26,2151.26,10.599999999999966
318,319,L47498,L,297.8,308.4,1512,39.9,181,0,No Failure,6317.62,3457.62,10.599999999999966
319,320,L47499,L,297.8,308.4,1612,32.1,183,0,No Failure,5418.74,2558.74,10.599999999999966
320,321,H29734,H,297.8,308.4,1550,38.2,185,0,No Failure,6200.46,3340.46,10.599999999999966
321,322,L47501,L,297.8,308.4,1518,32.5,190,0,No Failure,5166.35,2306.35,10.599999999999966
322,323,L47502,L,297.8,308.5,1448,40.0,192,0,No Failure,6065.37,3205.37,10.699999999999989
323,324,L47503,L,297.8,308.5,1561,46.3,194,0,No Failure,7568.55,4708.55,10.699999999999989
324,325,M15184,M,297.8,308.5,1488,41.9,196,0,No Failure,6528.98,3668.98,10.699999999999989
325,326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure,4946.14,2086.14,10.699999999999989
326,327,L47506,L,297.7,308.5,1501,41.4,201,0,No Failure,6507.43,3647.43,10.800000000000011
327,328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,8152.34,5292.34,10.800000000000011
328,329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure,5599.81,2739.81,10.799999999999955
329,330,H29743,H,297.7,308.5,1720,29.9,210,0,No Failure,5385.53,2525.53,10.800000000000011
330,331,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure,6134.09,3274.09,10.799999999999955
331,332,M15191,M,297.6,308.4,1391,51.9,218,0,No Failure,7560.02,4700.02,10.799999999999955
332,333,M15192,M,297.6,308.3,1538,40.2,0,0,No Failure,6474.57,3614.57,10.699999999999989
333,334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure,5398.42,2538.42,10.699999999999989
334,335,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure,6891.73,4031.73,10.600000000000023
335,336,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure,4743.71,1883.71,10.700000000000045
336,337,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure,4282.78,1422.78,10.599999999999966
337,338,L47517,L,297.6,308.3,1742,27.7,13,0,No Failure,5053.08,2193.08,10.699999999999989
338,339,L47518,L,297.5,308.2,1563,38.2,15,0,No Failure,6252.46,3392.46,10.699999999999989
339,340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure,5776.2,2916.2,10.699999999999989
340,341,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure,6081.66,3221.66,10.700000000000045
341,342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure,5223.21,2363.21,10.800000000000011
342,343,L47522,L,297.4,308.2,1471,46.5,25,0,No Failure,7162.99,4302.99,10.800000000000011
343,344,L47523,L,297.5,308.3,1388,48.6,27,0,No Failure,7064.06,4204.06,10.800000000000011
344,345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure,3537.68,677.68,10.699999999999989
345,346,L47525,L,297.5,308.3,1585,32.9,32,0,No Failure,5460.77,2600.77,10.800000000000011
346,347,M15206,M,297.5,308.3,1459,45.2,34,0,No Failure,6905.93,4045.93,10.800000000000011
347,348,L47527,L,297.5,308.3,1544,40.8,37,0,No Failure,6596.84,3736.84,10.800000000000011
348,349,L47528,L,297.6,308.3,1617,31.7,39,0,No Failure,5367.82,2507.82,10.699999999999989
349,350,L47529,L,297.6,308.3,1595,34.3,41,0,No Failure,5729.06,2869.06,10.699999999999989
350,351,H29764,H,297.6,308.3,1400,44.3,43,0,No Failure,6494.72,3634.72,10.699999999999989
351,352,M15211,M,297.6,308.4,1611,31.0,48,0,No Failure,5229.81,2369.81,10.799999999999955
352,353,M15212,M,297.6,308.4,1507,46.0,51,0,No Failure,7259.38,4399.38,10.799999999999955
353,354,H29767,H,297.5,308.3,1674,30.0,54,0,No Failure,5259.03,2399.03,10.800000000000011
354,355,L47534,L,297.6,308.3,1658,34.3,59,0,No Failure,5955.35,3095.35,10.699999999999989
355,356,L47535,L,297.6,308.3,1623,36.9,61,0,No Failure,6271.53,3411.53,10.699999999999989
356,357,M15216,M,297.6,308.4,1398,48.9,63,0,No Failure,7158.87,4298.87,10.799999999999955
357,358,L47537,L,297.6,308.4,1517,34.2,66,0,No Failure,5433.01,2573.01,10.799999999999955
358,359,M15218,M,297.6,308.3,1467,36.7,68,0,No Failure,5638.0,2778.0,10.699999999999989
359,360,M15219,M,297.6,308.3,1567,34.6,71,0,No Failure,5677.72,2817.72,10.699999999999989
360,361,M15220,M,297.5,308.3,1521,38.2,74,0,No Failure,6084.45,3224.45,10.800000000000011
361,362,L47541,L,297.5,308.3,1596,36.8,77,0,No Failure,6150.48,3290.48,10.800000000000011
362,363,H29776,H,297.6,308.3,1640,30.9,79,0,No Failure,5306.78,2446.78,10.699999999999989
363,364,L47543,L,297.6,308.3,1438,47.8,84,0,No Failure,7198.06,4338.06,10.699999999999989
364,365,L47544,L,297.6,308.4,1407,55.2,86,0,No Failure,8133.21,5273.21,10.799999999999955
365,366,L47545,L,297.6,308.4,1353,57.5,88,0,No Failure,8146.94,5286.94,10.799999999999955
366,367,M15226,M,297.6,308.5,1552,40.9,90,0,No Failure,6647.27,3787.27,10.899999999999977
367,368,M15227,M,297.6,308.4,1569,38.3,93,0,No Failure,6292.89,3432.89,10.799999999999955
368,369,L47548,L,297.5,308.4,1489,39.5,96,0,No Failure,6159.14,3299.14,10.899999999999977
369,370,H29783,H,297.5,308.4,1587,36.1,98,0,No Failure,5999.47,3139.47,10.899999999999977
370,371,M15230,M,297.5,308.3,1622,37.2,103,0,No Failure,6318.62,3458.62,10.800000000000011
371,372,L47551,L,297.5,308.4,1604,38.1,106,0,No Failure,6399.68,3539.68,10.899999999999977
372,373,M15232,M,297.4,308.3,1405,51.7,108,0,No Failure,7606.69,4746.69,10.900000000000034
373,374,L47553,L,297.4,308.3,1412,42.0,111,0,No Failure,6210.3,3350.3,10.900000000000034
374,375,L47554,L,297.4,308.3,1431,43.0,113,0,No Failure,6443.72,3583.72,10.900000000000034
375,376,L47555,L,297.4,308.2,1533,37.4,115,0,No Failure,6004.02,3144.02,10.800000000000011
376,377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure,7614.37,4754.37,10.800000000000011
377,378,M15237,M,297.4,308.2,1424,53.9,120,0,No Failure,8037.62,5177.62,10.800000000000011
378,379,L47558,L,297.3,308.2,1754,29.4,123,0,No Failure,5400.15,2540.15,10.899999999999977
379,380,L47559,L,297.3,308.2,1754,26.8,125,0,No Failure,4922.58,2062.58,10.899999999999977
380,381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure,3436.82,576.82,10.800000000000011
381,382,L47561,L,297.5,308.5,1546,40.4,129,0,No Failure,6540.63,3680.63,11.0
382,383,L47562,L,297.5,308.5,1335,48.0,131,0,No Failure,6710.44,3850.44,11.0
383,384,M15243,M,297.5,308.6,1842,27.0,133,0,No Failure,5208.13,2348.13,11.100000000000023
384,385,L47564,L,297.5,308.5,1712,26.8,136,0,No Failure,4804.71,1944.71,11.0
385,386,M15245,M,297.6,308.6,1414,45.4,138,0,No Failure,6722.55,3862.55,11.0
386,387,L47566,L,297.6,308.7,1319,50.9,141,0,No Failure,7030.58,4170.58,11.099999999999966
387,388,L47567,L,297.7,308.7,1249,60.4,143,0,No Failure,7900.02,5040.02,11.0
388,389,L47568,L,297.6,308.7,1455,48.2,145,0,No Failure,7344.1,4484.1,11.099999999999966
389,390,M15249,M,297.6,308.7,1408,54.8,147,0,No Failure,8080.01,5220.01,11.099999999999966
390,391,L47570,L,297.6,308.7,1460,46.7,150,0,No Failure,7140.0,4280.0,11.099999999999966
391,392,L47571,L,297.6,308.6,1491,38.1,152,0,No Failure,5948.83,3088.83,11.0
392,393,M15252,M,297.6,308.5,1490,43.4,154,0,No Failure,6771.81,3911.81,10.899999999999977
393,394,M15253,M,297.5,308.4,1350,52.2,157,0,No Failure,7379.6,4519.6,10.899999999999977
394,395,L47574,L,297.5,308.4,1528,39.9,160,0,No Failure,6384.47,3524.47,10.899999999999977
395,396,L47575,L,297.4,308.3,1571,37.7,162,0,No Failure,6202.21,3342.21,10.900000000000034
396,397,L47576,L,297.4,308.3,1490,42.6,164,0,No Failure,6646.98,3786.98,10.900000000000034
397,398,M15257,M,297.4,308.3,1774,28.9,166,0,No Failure,5368.84,2508.84,10.900000000000034
398,399,H29812,H,297.4,308.3,1502,43.6,169,0,No Failure,6857.8,3997.8,10.900000000000034
399,400,L47579,L,297.4,308.4,1392,49.7,174,0,No Failure,7244.76,4384.76,11.0
400,401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure,3716.5,856.5,11.100000000000023
401,402,L47581,L,297.5,308.5,1722,30.4,178,0,No Failure,5481.95,2621.95,11.0
402,403,L47582,L,297.4,308.6,1678,32.3,180,0,No Failure,5675.75,2815.75,11.200000000000045
403,404,L47583,L,297.3,308.6,1273,59.8,182,0,No Failure,7971.83,5111.83,11.300000000000011
404,405,L47584,L,297.3,308.6,1297,45.9,184,0,No Failure,6234.21,3374.21,11.300000000000011
405,406,L47585,L,297.3,308.5,1350,57.6,186,0,No Failure,8143.01,5283.01,11.199999999999989
406,407,L47586,L,297.4,308.6,1439,51.9,188,0,No Failure,7820.9,4960.9,11.200000000000045
407,408,M15267,M,297.4,308.5,1600,42.1,190,0,No Failure,7053.92,4193.92,11.100000000000023
408,409,M15268,M,297.4,308.6,1434,44.4,193,0,No Failure,6667.46,3807.46,11.200000000000045
409,410,L47589,L,297.4,308.6,1459,41.3,196,0,No Failure,6310.07,3450.07,11.200000000000045
410,411,M15270,M,297.5,308.6,1472,44.9,198,0,No Failure,6921.22,4061.22,11.100000000000023
411,412,L47591,L,297.5,308.7,1429,44.3,201,0,No Failure,6629.25,3769.25,11.199999999999989
412,413,L47592,L,297.5,308.6,1388,48.2,203,0,No Failure,7005.92,4145.92,11.100000000000023
413,414,L47593,L,297.4,308.4,1573,34.5,205,0,No Failure,5682.98,2822.98,11.0
414,415,L47594,L,297.4,308.4,1588,32.5,207,0,No Failure,5404.59,2544.59,11.0
415,416,L47595,L,297.5,308.4,1511,42.8,209,0,No Failure,6772.31,3912.31,10.899999999999977
416,417,L47596,L,297.4,308.5,1495,37.8,211,0,No Failure,5917.82,3057.82,11.100000000000023
417,418,L47597,L,297.4,308.4,1394,50.1,213,0,No Failure,7313.56,4453.56,11.0
418,419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure,3986.96,1126.96,11.0
419,420,M15279,M,297.3,308.3,1501,38.2,2,0,No Failure,6004.44,3144.44,11.0
420,421,M15280,M,297.3,308.3,1301,39.6,5,0,No Failure,5395.12,2535.12,11.0
421,422,M15281,M,297.3,308.3,1657,31.1,8,0,No Failure,5396.49,2536.49,11.0
422,423,L47602,L,297.3,308.3,1333,55.2,11,0,No Failure,7705.45,4845.45,11.0
423,424,L47603,L,297.3,308.3,1484,43.9,13,0,No Failure,6822.24,3962.24,11.0
424,425,L47604,L,297.3,308.4,1430,45.7,15,0,No Failure,6843.54,3983.54,11.099999999999966
425,426,M15285,M,297.3,308.4,1665,28.9,17,0,No Failure,5038.96,2178.96,11.099999999999966
426,427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure,7057.58,4197.58,11.100000000000023
427,428,M15287,M,297.5,308.5,1496,42.2,22,0,No Failure,6611.08,3751.08,11.0
428,429,M15288,M,297.6,308.6,1595,36.9,25,0,No Failure,6163.33,3303.33,11.0
429,430,L47609,L,297.5,308.6,1208,62.3,28,0,No Failure,7881.04,5021.04,11.100000000000023
430,431,L47610,L,297.5,308.6,1596,37.1,30,0,No Failure,6200.62,3340.62,11.100000000000023
431,432,L47611,L,297.5,308.5,1446,41.9,32,0,No Failure,6344.7,3484.7,11.0
432,433,M15292,M,297.6,308.5,1466,39.7,34,0,No Failure,6094.71,3234.71,10.899999999999977
433,434,M15293,M,297.6,308.5,1848,23.7,37,0,No Failure,4586.47,1726.47,10.899999999999977
434,435,M15294,M,297.5,308.5,1484,44.7,40,0,No Failure,6946.56,4086.56,11.0
435,436,L47615,L,297.4,308.3,1493,41.2,43,0,No Failure,6441.48,3581.48,10.900000000000034
436,437,L47616,L,297.3,308.3,1504,36.3,45,0,No Failure,5717.2,2857.2,11.0
437,438,L47617,L,297.3,308.3,1538,38.5,47,0,No Failure,6200.77,3340.77,11.0
438,439,L47618,L,297.4,308.4,1341,52.2,49,0,No Failure,7330.4,4470.4,11.0
439,440,M15299,M,297.4,308.3,1535,34.6,51,0,No Failure,5561.77,2701.77,10.900000000000034
440,441,L47620,L,297.4,308.5,1389,39.2,54,0,No Failure,5701.87,2841.87,11.100000000000023
441,442,H29855,H,297.5,308.5,1393,46.6,56,0,No Failure,6797.76,3937.76,11.0
442,443,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure,9009.93,6149.93,11.100000000000023
443,444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure,6937.88,4077.88,11.100000000000023
444,445,L47624,L,297.4,308.4,1582,37.2,68,0,No Failure,6162.8,3302.8,11.0
445,446,L47625,L,297.5,308.6,1793,26.7,70,0,No Failure,5013.26,2153.26,11.100000000000023
446,447,L47626,L,297.5,308.6,1452,39.0,72,0,No Failure,5930.07,3070.07,11.100000000000023
447,448,M15307,M,297.6,308.7,1376,59.9,74,0,No Failure,8631.25,5771.25,11.099999999999966
448,449,L47628,L,297.5,308.6,1552,44.9,77,0,No Failure,7297.38,4437.38,11.100000000000023
449,450,L47629,L,297.6,308.7,1622,37.9,79,0,No Failure,6437.52,3577.52,11.099999999999966
450,451,M15310,M,297.6,308.7,1419,41.7,81,0,No Failure,6196.51,3336.51,11.099999999999966
451,452,H29865,H,297.5,308.6,1440,46.1,84,0,No Failure,6951.72,4091.72,11.100000000000023
452,453,M15312,M,297.4,308.6,1643,31.0,89,0,No Failure,5333.69,2473.69,11.200000000000045
453,454,L47633,L,297.4,308.7,1510,36.2,92,0,No Failure,5724.19,2864.19,11.300000000000011
454,455,L47634,L,297.4,308.7,1468,46.6,94,0,No Failure,7163.75,4303.75,11.300000000000011
455,456,L47635,L,297.4,308.7,1429,57.4,96,0,No Failure,8589.6,5729.6,11.300000000000011
456,457,H29870,H,297.3,308.7,1478,47.6,98,0,No Failure,7367.33,4507.33,11.399999999999977
457,458,L47637,L,297.4,308.6,1276,53.6,103,0,No Failure,7162.16,4302.16,11.200000000000045
458,459,L47638,L,297.3,308.6,1486,42.6,105,0,No Failure,6629.14,3769.14,11.300000000000011
459,460,L47639,L,297.4,308.6,1476,42.3,107,0,No Failure,6538.16,3678.16,11.200000000000045
460,461,H29874,H,297.3,308.6,1431,42.0,109,0,No Failure,6293.87,3433.87,11.300000000000011
461,462,L47641,L,297.4,308.7,1402,40.2,114,0,No Failure,5902.05,3042.05,11.300000000000011
462,463,L47642,L,297.4,308.7,1433,43.4,116,0,No Failure,6512.75,3652.75,11.300000000000011
463,464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure,1264.05,-1595.95,11.300000000000011
464,465,L47644,L,297.3,308.6,1511,35.7,120,0,No Failure,5648.87,2788.87,11.300000000000011
465,466,M15325,M,297.3,308.6,1456,42.9,122,0,No Failure,6541.05,3681.05,11.300000000000011
466,467,L47646,L,297.2,308.5,1550,41.5,125,0,No Failure,6736.1,3876.1,11.300000000000011
467,468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure,3770.23,910.23,11.300000000000011
468,469,L47648,L,297.3,308.7,1619,31.6,129,0,No Failure,5357.5,2497.5,11.399999999999977
469,470,M15329,M,297.3,308.8,1586,32.7,131,0,No Failure,5431.0,2571.0,11.5
470,471,H29884,H,297.3,308.8,1499,44.2,134,0,No Failure,6938.29,4078.29,11.5
471,472,H29885,H,297.3,308.8,1419,42.4,139,0,No Failure,6300.53,3440.53,11.5
472,473,M15332,M,297.4,309.0,1497,41.8,144,0,No Failure,6552.8,3692.8,11.600000000000023
473,474,M15333,M,297.4,309.0,1520,37.0,147,0,No Failure,5889.44,3029.44,11.600000000000023
474,475,L47654,L,297.4,309.1,1478,49.8,150,0,No Failure,7707.83,4847.83,11.700000000000045
475,476,L47655,L,297.4,309.1,1380,41.1,152,0,No Failure,5939.5,3079.5,11.700000000000045
476,477,L47656,L,297.4,309.0,1570,37.9,154,0,No Failure,6231.14,3371.14,11.600000000000023
477,478,H29891,H,297.4,309.0,1468,41.4,156,0,No Failure,6364.36,3504.36,11.600000000000023
478,479,L47658,L,297.4,309.0,1833,22.6,161,0,No Failure,4338.1,1478.1,11.600000000000023
479,480,M15339,M,297.4,308.9,1323,57.3,163,0,No Failure,7938.58,5078.58,11.5
480,481,L47660,L,297.4,309.0,1583,32.0,166,0,No Failure,5304.68,2444.68,11.600000000000023
481,482,M15341,M,297.3,309.0,1556,39.5,168,0,No Failure,6436.29,3576.29,11.699999999999989
482,483,L47662,L,297.3,309.0,1548,37.4,171,0,No Failure,6062.77,3202.77,11.699999999999989
483,484,L47663,L,297.4,309.0,1324,56.9,173,0,No Failure,7889.13,5029.13,11.600000000000023
484,485,L47664,L,297.4,309.0,1568,33.7,175,0,No Failure,5533.56,2673.56,11.600000000000023
485,486,M15345,M,297.4,309.0,1685,30.7,177,0,No Failure,5417.1,2557.1,11.600000000000023
486,487,M15346,M,297.4,309.1,1582,35.9,180,0,No Failure,5947.43,3087.43,11.700000000000045
487,488,M15347,M,297.4,309.1,1463,35.0,183,0,No Failure,5362.18,2502.18,11.700000000000045
488,489,L47668,L,297.4,309.2,1584,42.8,186,0,No Failure,7099.5,4239.5,11.800000000000011
489,490,M15349,M,297.5,309.2,1347,55.8,188,0,No Failure,7871.01,5011.01,11.699999999999989
490,491,L47670,L,297.4,309.2,1459,37.9,191,0,No Failure,5790.59,2930.59,11.800000000000011
491,492,L47671,L,297.4,309.2,1420,45.6,193,0,No Failure,6780.81,3920.81,11.800000000000011
492,493,L47672,L,297.5,309.3,1404,43.5,195,0,No Failure,6395.65,3535.65,11.800000000000011
493,494,L47673,L,297.5,309.3,1470,38.8,197,0,No Failure,5972.8,3112.8,11.800000000000011
494,495,L47674,L,297.6,309.4,1326,49.8,199,0,No Failure,6915.15,4055.15,11.799999999999955
495,496,H29909,H,297.5,309.3,1459,49.7,201,0,No Failure,7593.47,4733.47,11.800000000000011
496,497,M15356,M,297.5,309.2,1530,40.0,206,0,No Failure,6408.85,3548.85,11.699999999999989
497,498,L47677,L,297.4,309.0,1505,39.2,209,0,No Failure,6178.05,3318.05,11.600000000000023
498,499,L47678,L,297.5,309.1,1611,30.2,211,0,No Failure,5094.85,2234.85,11.600000000000023
499,500,L47679,L,297.5,309.1,1515,35.1,213,0,No Failure,5568.63,2708.63,11.600000000000023
500,501,M15360,M,297.5,309.2,1804,27.4,215,0,No Failure,5176.26,2316.26,11.699999999999989
501,502,M15361,M,297.6,309.3,1464,46.2,218,0,No Failure,7082.91,4222.91,11.699999999999989
502,503,L47682,L,297.6,309.2,1390,43.3,221,0,No Failure,6302.77,3442.77,11.599999999999966
503,504,M15363,M,297.6,309.2,1442,48.1,0,0,No Failure,7263.38,4403.38,11.599999999999966
504,505,M15364,M,297.6,309.3,1529,41.9,3,0,No Failure,6708.88,3848.88,11.699999999999989
505,506,L47685,L,297.6,309.3,1610,35.0,6,0,No Failure,5900.96,3040.96,11.699999999999989
506,507,L47686,L,297.6,309.3,1543,34.3,8,0,No Failure,5542.28,2682.28,11.699999999999989
507,508,H29921,H,297.8,309.4,1445,48.2,10,0,No Failure,7293.63,4433.63,11.599999999999966
508,509,L47688,L,297.7,309.3,1893,24.6,15,0,No Failure,4876.57,2016.57,11.600000000000023
509,510,M15369,M,297.6,309.3,1415,41.3,17,0,No Failure,6119.77,3259.77,11.699999999999989
510,511,L47690,L,297.5,309.3,1564,37.5,20,0,No Failure,6141.81,3281.81,11.800000000000011
511,512,L47691,L,297.5,309.3,1479,39.4,22,0,No Failure,6102.29,3242.29,11.800000000000011
512,513,L47692,L,297.5,309.2,1426,44.8,24,0,No Failure,6690.0,3830.0,11.699999999999989
